Employee #,Last Name,First Name,Birthday,HourlyRate,Date,TimeIn,TimeOut
10001,Garcia,Manuel III,10/11/1983,150,06/01/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,06/16/2024,8.05,17.00
10001,Garcia,Manuel III,10/11/1983,150,07/01/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,07/16/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,08/01/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,08/16/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,09/01/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,09/16/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,10/01/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,10/16/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,11/01/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,11/16/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,12/01/2024,8.00,17.00
10001,Garcia,Manuel III,10/11/1983,150,12/16/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,06/01/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,06/16/2024,8.10,17.00
10002,Lim,Antonio,06/19/1988,140,07/01/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,07/16/2024,8.05,17.00
10002,Lim,Antonio,06/19/1988,140,08/01/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,08/16/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,09/01/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,09/16/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,10/01/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,10/16/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,11/01/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,11/16/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,12/01/2024,8.00,17.00
10002,Lim,Antonio,06/19/1988,140,12/16/2024,8.00,17.00
10003,Aquino,Bianca Sofia,08/04/1989,130,06/01/2024,8.00,17.00
10003,Aquino,Bianca Sofia,08/04/1989,130,06/16/2024,8.05,17.00

